JRef	JMRef	JCtrl	JLin	JRob
Médias: 0.470468	0.445349	0.445326	0.496950	0.596401
Variancias: 0.078994	0.083698	0.085746	0.101110	0.143850
DP: 0.281059	0.289306	0.292825	0.317979	0.379276
Máximo: 1.159600	1.234200	1.113900	1.398800	1.429200
Mínimo: 0.026000	0.000000	0.000000	0.020000	0.021800

TRef	TMRef	TCtrl	TLin	TRob
Médias: 50.291896	30.338206	30.338183	20.468379	10.589258
Variancias: 0.111368	2.067352	2.069398	0.101966	0.143907
DP: 0.333718	1.437829	1.438540	0.319321	0.379351
Máximo: 51.159600	31.234200	31.113900	21.398800	11.429200
Mínimo: 50.026000	0.000000	0.000000	20.020000	10.021800

